Event Type:,Place:,Event Date:,Estimated Total Cost:,Comments
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Ontario and southern Quebec,"July 22, 2012",Unknown,"In the late afternoon of July 22nd, a series of thunderstorms tracked over parts of southwestern Ontario. In Hamilton, 66mm of rain fell in a matter of a few hours; an unofficial gauge recorded 140 mm. The storms continued into eastern Ontario the next day. Strong winds were recorded in the Lake Nipissing area, up the Ottawa River Valley and into Quebec. Straight line winds, golf-ball-sized hail, were heavy localized rain were reported in both Ontario and Quebec. The system caused $92.6 million (CAD 2012) in insurable losses."
Meteorological - Hydrological | Storm - Unspecified / Other,"Calgary, Alberta","November 27, 2011",Unknown,"On November 27th, a windstorm resulted in serious impacts across the Calgary area, including impeding traffic in the downtown core. The windstorm caused over $172 million in insured losses (CAD 2011)."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,"Quebec, New Brunswick, Nova Scotia, Prince Eward Island, and Newfoundland and Labrador","August 28, 2011","$153,856,000","Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland and Labrador, August 28-30, 2011. Hurricane Irene, the storm that caused over 40 deaths and billions of dollars in damages in the United States, moved north into Canada affecting parts of Quebec and the Maritime provinces. The 400 kilometre-wide Post-Tropical storm produced heavy rain and strong gusts of wind, which downed trees and power lines. Parts of Quebec received more than 100 mm of rain and wind gusts of up to 113 km/h. On August 28, Hydro-Quebec reported approximately 250,000 customers (750,000 individuals) without power and by August 29, only 80,000 households were without power. The storm was responsible for two deaths in Quebec; one man died while attempting to reach his family in the storm, while another went missing and is presumed dead when his car was washed down river. Approximately 350 residents were evacuated in Quebec. Strong winds produced six-metre waves over western Maritime waters. Some parts of Labrador received up to 40 mm of rain overnight, while Doaktown and Fredricton New Brunswick received 89 mm and 53 mm respectively. Approximately 50,000 households (150,000 individuals) in New Brunswick and 8000 (24,000 individuals) households in Nova Scotia were without power during the height of the storm."
Meteorological - Hydrological | Tornado,Goderich ON,"August 21, 2011","$112,859,000","Goderich ON, August 21-22, 2011. On August 21, an F3 tornado with 250 km/h winds touched down at 16:00 EDT in the town of Goderich causing severe damages. The extent of destruction included damages to residental and commercial property, downed trees, gas leaks and power outages. Natural gas was off to 90 per cent of the town as well as to residents in surrounding municipalities. As of 10:30 EDT on August 22, power had been restored to most of the affected area. The tornado was approximately 20 kilometres in length and left a path of destruction 200 to 1,500 metres wide. The tornado was responsible for one fatality and injured 37 other people. The F3 tornado that hit Goderich was the most powerful twister recorded in Ontario for more than a decade."
Meteorological - Hydrological | Storm - Unspecified / Other,Southern Ontario and southern Quebec,"April 27, 2011",Unknown,"On April 27th and 28th, a weather system moved through southern Ontario and southern Quebec, and brought strong winds and severe thunderstorms. Ontario's first tornado of the season (April 27th) was confirmed; an EF0 near Fergus, ON. Wind warnings were also issued across many parts of southern Ontario. With this, there was widespread wind damage and other storm-related damage. In St. Catharines, for example, Lockview Public School experienced significant roof damage during school hours. The high winds also caused bridge closures including the Garden City Skyway after a tractor trailer blew over. Additionally, the storm caused flooding in Quebec; 100 residents were evacuated in Coaticook when the Coaticook River flooded its banks. This system also caused a few injuries and 2 fatalities. The insurable losses in both Ontario and Quebec was estimated to be $199.9 million (2011 CAD)."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Yarmouth County NS,"November 4, 2010","$4,118,000","Yarmouth County NS, November 4-10, 2010. A severe storm produced a total rainfall ranging from 140 mm to 250 mm.  At least 20 roads were closed due to flooding, and more than 100 people were evacuated from their homes."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Newfoundland and Labrador,"September 21, 2010","$85,507,690","Newfoundland and Labrador, September 21, 2010. Hurricane Igor hit Newfoundland and Labrador at 12:30 NDT, causing extensive damages. At the height of the hurricane, wind speeds in some areas were in excess of 170 km/h with rainfall reaching nearly 240 mm in some parts of the province. Approximately 150 communities were isolated due to washouts and road closures, and 30 communities had declared states of emergency. Over 30,000 calls were made to the Emergency Operations Centre and over 100 families (300 individuals) were displaced. An 80-year-old man died when he was swept into the ocean during the storm.  The Canadian Forces deployed 1000 troops to assist in the wake of the disaster. Canada Revenue Agency also provided tax relief measures to taxpayers affected by Hurricane Igor in Newfoundland and Labrador."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Nova Scotia,"September 4, 2010",Unknown,"Nova Scotia, September 4, 2010. Hurricane Earl landed 35 kilometres southwest of Liverpool as a Category 1 hurricane with wind speeds of up to 135 km/h. The storm made landfall at 10:30 ADT with some parts of Nova Scotia receiving up to 75 mm of rain. The high winds produced by the storm created peak waves of 23 metres in height and uprooted trees that downed power lines leaving 200,000 Nova Scotia power customers (approximately 600,000 individuals) without power. There were also extensive damages to the Halifax harbour and roads throughout Newfoundland and Nova Scotia from uprooted trees and debris. An individual drowned west of Halifax while trying to rescue a boat that broke free from its mooring. It was reported that the man was wearing a life jacket at the time, but was unable to swim back to shore. Nova Scotia’s Emergency Management Office attributed the man’s death to the storm."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Calgary, Alberta","August 22, 2010",Unknown,"On the afternoon of August 22nd, a severe thunderstorm with hail crossed the southwestern suburban neighbourhoods of Calgary including Bridlewood, Evergreen, Auburn Bay and Midnapore. This caused widespread hail damage and insurable losses of $84.5 million (CAD 2010)."
Meteorological - Hydrological | Storms and Severe Thunderstorms,North Battleford SK,"July 22, 2010","$112,000","North Battleford SK, July 22, 2010.  A sudden and severe downpour of rain caused extensive flooding in the city of North Battleford.  A local state of emergency was declared and 97 homes were flooded. The Red Cross provided food and accommodations to 45 people from 11 families."
Meteorological - Hydrological | Storm - Unspecified / Other,Calgary AB,"July 12, 2010","$400,000,000","Calgary AB, July 12, 2010. A massive 30-minute long hailstorm pelted the city of Calgary on July 12. The hail ranged from 4 cm in diameter to baseball-sized hail balls. Apart from the hail, the storm brought along with it heavy rain, strong wind gusts, thunder and lightning. The storm caused severe damages throughout the city as hail broke windows, dented cars and destroyed crops. The hailstorm decimated over 90,000 hectares of cropland near Strathmore and Hussar. Crop damage claims were estimated at $18.5 million. In total, the estimated dollar value of damage claims was over $400 million, making it the costliest hailstorm in Canada to date."
Meteorological - Hydrological | Tornado,Saskatchewan,"June 29, 2010","$13,239,000","Saskatchewan, June 29 to July 2, 2010. Saskatoon was struck by severe weather on June 29. The following day numerous municipalities from Prince Albert to Davidson were affected by heavy rain. On July 1, the storm moved south while another system moved in from the north. On July 2, an F3 tornado touched down at approximately 17:30 CST in Kawacatoose First Nation, near the town of Raymond. The tornado produced wind speeds of up to 330 km/h and left a path of destruction that was 500 metres wide and 45 kilometres in length. The tornado destroyed 18 homes in the small First Nations community. There were no fatalities or reported injuries, although 85 people were left homeless in the wake of the tornado."
Meteorological - Hydrological | Tornado,Midland ON,"June 23, 2010","$17,000,000","Midland ON, June 23, 2010. Two tornadoes touched down in Ontario’s Cottage County. An F2 tornado with wind speeds of up to 240 km/h touched down in Midland at 18:30 EST. Another F1 tornado with wind speeds of up to 170 km/h touched down in Washago at 19:00 EST. In Midland, 50 trailers were destroyed and 20 others were damaged. Additionally another 100 residential buildings were damaged by the F2 tornado that also uprooted trees and downed power lines. It was reported that 20 people were sent to the hospital for injures. Ontario provided immediate provincial assistance of up to $1 million to aid in cleanup and repairs."
Meteorological - Hydrological | Tornado,Leamington ON,"June 6, 2010","$223,864","Leamington ON, June 6, 2010. An F1 tornado touched down in Leamington prompting city officials to declare a local state of emergency. The small community located in the southern region of Essex County was hit by an F1 tornado as well as a series of strong winds called downbursts early in the morning on June 6. The F1 tornado produced winds of up to 180 km/h, which destroyed approximately 12 homes, downed power lines and uprooted trees. Approximately 4,500 hydro customers (13,500 individuals) were left without power. The Canadian Red Cross assisted with response efforts by providing an emergency shelter. There were no reported injuries or fatalities."
Meteorological - Hydrological | Storm Surge,Baie-Verte and Port Elgin NB,"January 2, 2010","$627,673","Baie-Verte NB, January 2-3, 2010. While there are no gauges in the Baie-Verte/Port Elgin area, Environment Canada reported that based on the gauge at Pointe du Chene the peak water level there lasted for approximately two hours. Environment Canada indicated that water levels in the Baie-Verte/Port Elgin area would have been greater than the five feet recorded at Pointe du Chene due to the peak winds occurring there later in the storm."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Nova Scotia and New Brunswick,"October 25, 2009",Unknown,"Nova Scotia and New Brunswick, October 25-28, 2009. A storm pushed through New Brunswick during the last week of October. Hydro utilities reported more than 6,000 customers without electricity in New Brunswick and about 2,000 in Nova Scotia before power was restored. Some Moncton residents faced sewer backups after high winds caused leaves to fall, blocking catch basins. Several streets and homes flooded after 116 mm of rain fell in St. Johns. Firefighters responded to more than 30 calls for flooded basements filled with more than a metre of sewer water. October rainfall in Saint John amounted to 245.4 mm, which was just 2 mm less than the record set in 1977."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Halifax NS,"August 23, 2009",Unknown,"Halifax NS, August 23, 2009.  Hurricane Bill dumped between 60 and 70 mm of rain with overland wind gusts of 87 km/h. A marine buoy off Nova Scotia recorded winds of 130 km/h and another buoy about 200 kilometers southeast of Yarmouth recorded a maximum wave height of 26.4 metres. Bill's steady downpour and fierce winds knocked out power to 40,000 residents. More than a dozen flights from Halifax International Airport were cancelled and ferry services were suspended between Nova Scotia and Newfoundland. In Newfoundland and Labrador there were road washouts and some localized flooding."
Meteorological - Hydrological | Tornado,"Toronto, Windsor, Vaughan and Newmarket ON","August 20, 2009","$96,183,000","Toronto, Windsor, Vaughan and Newmarket ON, August 20, 2009.  A super cell storm developed just south of Lake Huron and tracked northeastward for a remarkable 200 kilometres. The heat and humidity in Ontario increased once the clouds disappeared. A squall line developed over Lower Michigan and traveled across the Great Lakes reaching southern Ontario at 15:00 EDT. This system produced powerful winds from Windsor to northeast of Toronto as well as destructive tornadoes in Vaughan and Newmarket. While these tornadoes were wreaking havoc just north of Toronto, another series of super cell thunderstorms spawned tornadoes in parts of Simcoe County, Muskoka and Parry Sound Districts to the east of Georgian Bay and north towards Lake Nipissing. In total, the day’s weather produced 19 confirmed tornadoes, including: four F0, eleven F1, and four F2. This was the greatest number of F2 tornadoes in Ontario in one day since the Barrie/central Ontario tornadoes of May 31, 1985. It was also a new Canadian record for the most confirmed tornadoes in one day. Violent winds snapped trees, lifted roofs, flattened cars, mowed down fences, collapsed farm buildings, and inflicted property losses around $100 million. The first tornado of the day touched down in the town of Durham in Grey County, killing a young boy as he left a nearby conservation area day camp. About 600 homes, mostly in the communities of Maple and Woodbridge were damaged. Fourty were destroyed and declared unsafe. At the peak of the storm, Hydro One reported that 69,000 customers (approximately 207,000 individuals) had lost power."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Winnipeg and Steinbach MB,"August 14, 2009","$50,000,000","Winnipeg and Steinbach MB, August 14, 2009. Powerful thunderstorms, spectacular lightning strikes and baseball-sized hail hammered a wide area of southern Manitoba from Winnipeg to Steinbach. More than 7000 instances of damage to houses and vehicles were reported and losses ranged between $50-75 million. The storm also knocked out power to approximately 4000 homes (12,000 individuals)."
Meteorological - Hydrological | Tornado,Déléage and Mont-Laurier QC,"August 4, 2009","$6,000,000","Déléage and Mont-Laurier QC, August 4, 2009. A powerful F2 tornado touched down in Déléage at 14:00 EST and track 40 kilometres through Aumond, to Mont-Laurier in the upper Laurentians. The tornado blew away roofs, knocked down walls, flipped over cars, snapped utility poles and downed power lines leaving 4000 residents (12,000 individuals) without power. In Mont-Laurier, 40 homes were damaged, amoung those 28 were rendered uninhabitable. There were no fatalities, although two people were injured and taken to the hospital. The tornado caused about $6 million in insured losses. The tornado's path through Mont-Laurier was 300 metres wide, but its 40 kilometre track was an unusually long distance for a tornado in Quebec and a strong indication of the storm's severity. Previous to this event, the last time a stronger tornado touched down in the Quebec was on the same day in 1994 when an F3 tornado destroyed more than 400 homes in Aylmer."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Alberta,"August 1, 2009",Unknown,"Southern Alberta, August 1-3, 2009. A cold front swept through southern Alberta on August 1, bringing with it strong wind gusts of up to 100 km/h. The powerful winds brought down a stage at the Big Valley Jamboree in Camrose killing one individual and injuring 75 others. Calgary received wind gusts of up to 78 km/h. The strong winds killed a small child and injured two others when debris from a construction site struck the individuals. On August 2 and 3, a powerful storm developed increasing the severity of the strong winds with wind gusts of up to 107 km/h, along with large hail and heavy rain. The power winds downed trees and power lines, knocking out power to an unknown number of people. In some parts of Alberta, hail was measured at 10 cm deep, with some hail the size of baseballs. Hail caused extensive damages to homes and vehicles."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Hamilton and Toronto ON,"July 26, 2009","$173,312,000","Hamilton and Toronto ON, July 26, 2009. A storm cell stalled over the western end of Lake Ontario. Hamilton was hard hit. Waves of thunderstorms pounded the city, leaving citizens with flooded basements and motorists stuck in traffic caused by road closures. The midday downpour turned Red Hill Creek into an angry brown torrent that forced the closure of nearby roads and highways. Water gushed into 7000 basements and power was shut off to thousands of customers. While the Hamilton Airport observed only 28 mm of rain, radar estimates confirmed rainfall amounts in an unofficial gauge totaling 110 mm in two hours - worse than a 100-year storm and one of the most intense short-duration rainfalls on record in Canada. Conditions were made worse because the ground was super-saturated from storms two days earlier. In Toronto, parts of Lakeshore Boulevard near the Exhibition grounds were submerged. To the north, a pair of giant sinkholes swallowed part of Finch Avenue West - big enough to hold a fleet of cars and deep enough to cover a four-storey building."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Edmonton AB,"July 18, 2009","$4,500,000","Edmonton AB, July 18, 2009.  A cold front mixed with warm air produced severe thunderstorms in the Edmonton area. The city of Edmonton, along with Lamont and Strathcona counties, were hit by a storm cell that produced intense lightning, heavy rain, hail and strong winds of up to 110 km/h. The strong winds downed trees and power lines, knocking out power to an unknown number of people. In Edmonton, the powerful winds ripped the awning off the Edmonton CN Tower, causing damages to the tower and vehicles parked below. In addition, lightning caused various fires throughout the city."
Meteorological - Hydrological | Storm - Unspecified / Other,"Montreal, Alma, La Tuque and Baie-Saint-Paul QC","May 14, 2009",Unknown,"Montreal, Alma, La Tuque and Baie-Saint-Paul QC, May 14, 2009. Winds gusting up to 100 km/h wreaked havoc across Quebec on May 14. An 18-wheeler was one of six tractor-trailers pushed over on its side near Beloeil. Strong winds cut electricity to 70,000 people by downing hydro lines.  Winds also inflicted significant property damage: in Ste-Julie, winds uprooted hundreds of trees and tossed a gazebo and trampoline into the air where there were left dangling from power lines; in Alma, fallen trees crossed power lines, igniting a brush fire; in the La Tuque region, winds blew shingles off a hotel roof and dropped a street light on a home; and in Baie-Saint-Paul, winds snapped hydro poles in half and tore away roofs."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Ottawa, Toronto and Windsor ON","April 25, 2009","$40,981,000","Ottawa, Toronto and Windsor ON, April 25, 2009. A spate of fierce thunderstorms broke out across southwestern, southcentral and eastern Ontario. Winds at Toronto Pearson International Airport gusted to 115 km/h, the strongest wind gusts reported since January 1978. Power lines and trees came down across the province, knocking out power to 100,000 customers (300,000 individuals).  Embedded in the thunderstorm cluster were marble-sized hail near Parry Sound, waterspouts in the Ottawa River, straight-line winds and weak tornados in Windsor and Ottawa. In Windsor, the roof was ripped off a union hall building with chunks of roofing and shards of glass littering the lawn and front steps. At Ottawa's Rockcliffe Flying Club, winds damaged 18 planes. Both tornados were F0 in intensity with winds of up to 110 km/h."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Vancouver, Fraser Valley and the Greater Vancouver Regional Districts BC","January 6, 2009","$13,191,884","Vancouver, Fraser Valley and the Greater Vancouver Regional Districts BC, January 6 to 8, 2009. A severe rainstorm from January 6 to January 8 affected Vancouver, Fraser Valley and the Greater Vancouver Regional Districts causing overland flooding, mudslides and landslides until January 31. Preliminary eligible costs are estimated at $16,500,000, which would result in a federal share of approximately $6,900,000."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Greater Vancouver and Fraser Valley BC,"January 6, 2009","$3,591,884","Greater Vancouver and Fraser Valley BC, January 6-8, 2009. An upper level low brought warm weather and heavy rainfall to Vancouver and the Fraser Valley region after southern British Columbia received higher than average snowfall in December 2008. There was a period of heavy rain from January 6 to 8 that caused flooding, landslides and mudslides. The towns of Hope and Chilliwack recorded 214 and 164 mm of rain. Chilliwack declared a local state of emergency as the flooding caused extensive damages to homes and roadways."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Maritime Provinces,"September 28, 2008",Unknown,"Maritime Provinces, September 28, 2008. Tropical storm Kyle, made landfall with Atlantic Canada between the Yarmouth and Digby counties in western Nova Scotia at 21:30 ADT on September 28. Kyle covered more than 1000 kilometres as it moved north-northeast from the United States before reaching Canada as a Category 1 storm with wind gusts of 120 km/h. The storm brought heavy rain to New Brunswick and Quebec, with parts of New Brunswick receiving up to 72 mm of rain. Power outages were reported in all three Maritime provinces. Nova Scotia had over 40,000 customers (approximately 120,000 individuals) lost power. The storm also produced an estimated storm surge of 80 cm."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Yarmouth County NS,"September 28, 2008",Unknown,"Yarmouth NS, September 28, 2008. Tropical Storm Kyle made landfall bringing heavy rains and powerful winds as high as 100 km/h.  The high winds resulted in 40,000 being without power along with significant damage to infrastructure and personal property."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Kingston ON,"September 15, 2008",Unknown,"Kingston ON, September 15, 2008. An overnight wind and rainstorm hit Kingston, cut power to thousands of homes in the area, knocked one ferry out of service and toppled small buildings. Kingston received 20 mm of rain overnight and was hit with wind gusts of 67 km/h. Across southeast Ontario, 25,000 homes and businesses (approximately 75,000 individuals) lost power."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Saint John NB,"September 7, 2008","$675,103","Saint John NB, September 7, 2008. Tropical storm Hanna soaked already waterlogged communities in the Maritime provinces on September 7. By the time it reached Atlantic Canada, Hanna was downgraded to a Post-Tropical storm, but remained at gale strength throughout its track along the Fundy coast of Nova Scotia, through eastern Prince Edward Island, northern Cape Breton and southern Newfoundland. The storm produced 80 km/h wind gusts and heavy rain. Saint John was hard hit by 146 mm of rain. Dozens of roads in Saint John were flooded and closed, including parts of the Southern New Brunswick Railway. Scattered power outages were also reported in New Brunswick and Nova Scotia."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Queens County PE,"September 6, 2008","$1,572,759","Queens County PE, September 6-7, 2008. Storm Hanna caused heavy rainfall, resulting in infrastructure damage mainly in Queens County, with major highway damage to the Trans-Canada Highway in Cornwall."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Colchester, Pictou, Antigonish, Inverness, Victoria, Cumberland and Halifax NS","August 29, 2008","$851,326","Colchester, Pictou, Antigonish, Inverness, Victoria, Cumberland and Halifax NS, August 29 to 31, 2008. A low pressure system moved into Nova Scotia, bringing heavy rains up to 49 mm. The same system returned on August 31 and brought even more rain, up to 68 mm. The total rainfall over the three day period caused extensive flooding."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Quebec and New Brunswick,"July 31, 2008","$1,499,116","Quebec and New Brunswick, July 31 to August 4, 2008. Storms and heavy rainfalls pounded the regions of Beauce, Temiscouata and Gaspésie in eastern Quebec and neighboring northwest New Brunswick. A deluge of more than 100 mm of rain caused severe flooding, which washed out dozens of roads in the region. Two individuals were killed when floodwaters swept their vehicle into a lake in the eastern Temiscouata region of Quebec. Over 50 sections roads were washed out, including small bridges as well as two cottages that were destroyed in Quebec by the heavy rain. In New Brunswick, a state of emergency was declared in Glazier Lake where 74 residents had to be air lifted to safety after a flashflood washed out sections of a provincial highway."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Gander, Hare Bay and Swift Current NL","July 30, 2008","$644,956","Gander, Hare Bay and Swift Current NL, July 30, 2008. A weather system, beginning west of the town of Gander extending east to Hare Bay, and south to Swift Current, caused severe thunderstorms and heavy rain.  This resulted in damage to private property and provincial infrastructure."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Regina SK,"July 22, 2008",Unknown,"Regina SK, July 22, 2008. Wicked weather wreaked havoc across Regina, with wind gusts up to 92 km/h and 11.2 mm of rain. The squall left about 5000 customers (15,000 individuals) in parts of north and east Regina without power."
Meteorological - Hydrological | Storms and Severe Thunderstorms,La Tuque QC,"July 22, 2008",Unknown,"La Tuque QC, July 22, 2008. Strong flooding caused by torrential rains forced the evacuation of approximately 112 people and caused considerable damage to a number of homes, two of which needed to be demolished."
Meteorological - Hydrological | Tornado,Winnipeg MB,"July 11, 2008",Unknown,"Winnipeg MB, July 11, 2008. Wind caused havoc across Winnipeg and eastern Manitoba, including one area that may have been hit by a tornado. Up to 5000 homes (15,000 individals) lost power in total."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Lethbridge AB,"July 1, 2008",Unknown,"Lethbridge AB, July 1, 2008. On Canada Day 2008, Lethbridge was hit by an intense storm that brought heavy rain, which caused flash flooding in parts of the city. It rained 47 mm, the monthly average in just about 90 minutes. The heavy rain reached a peak of about 200 mm for at least one hour. The intense rainstorm flooded the basements of over 300 houses, submerged three underpasses and caused road closures, including the closure of one bridge."
Meteorological - Hydrological | Tornado,Lanaudière QC,"June 29, 2008",Unknown,"Lanaudière QC, June 29, 2008. A tornado, with winds at times reaching 120 km/h and producing hail the size of golf balls, caused a great deal of property damage. Nearly 15,000 homes (45,000 individuals) were left without power."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Montérégie and Eastern Townships QC,"June 10, 2008","$172,490,000","Montérégie and Eastern Townships QC, June 10-13, 2008. Thousands of residents south of Montreal had their power knocked out as many regions were hit with wind gusts exceeding 100 km/h. Hydro-Quebec reported that three quarters of the residents in the Montérégie and Eastern Townships, exactly 99,931 homes (approximately 299,793 individuals) lost power on June 10 due to strong winds that damaged power lines. The majority of resident had power restored on June 12, but approximately 25,000 had to wait until June 13."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Huntingdon QC,"May 31, 2008",Unknown,"Huntingdon QC, May 31, 2008. More than 95 mm of rain fell on the city of Huntingdon, flooding most of its 1,300 homes and raising fears that the Châteauguay River would overflow."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southwest Alberta,"May 21, 2008","$7,535,000","Southwest Alberta, May 21-25, 2008. A series of rainstorms and the resulting high stream flows significantly impacted municipalities in Southwestern Alberta. The Government of Alberta established a Disaster Recovery Program on July 30, 2008, covering all affected municipalities and residents. The program includes the municipalities of Black Diamond, High River, Okotoks, Clagary, Municipal Districts of Foothills, Kananaskis Improvement District, Pincher Creek, Rocky View, and the Stony First Nation."
Meteorological - Hydrological | Storm - Unspecified / Other,South-Central Manitoba,"May 16, 2008","$314,496","South-Central Manitoba, May 16-17, 2008. Over the weekend, Manitoba experienced a wind storm producing damaging winds that caused extensive impacts to the public sector drainage system across a wide area of central Manitoba. Affected areas include the rural municipalities of Cartier, Grey, Macdonald, Dufferin, Morris and Montcalm."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Saint John NB,"February 14, 2008",Unknown,"Saint John NB, February 14, 2008. A boil-water order was imposed following a rain storm that saw nearly 80 mm of rain dumped on the city."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Matane QC,"December 17, 2007",Unknown,"Matane QC, December 17, 2007. For the third time in four months, Eastern Quebec was hard hit by bad weather. This time, 275 people were evacuated, mainly from Matane and Saint-René-de-Matane. The city of Matane declared a state of emergency due to gale force winds of up to 100 km/h and artic temperatures."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Vancouver BC,"November 12, 2007",Unknown,"Southern British Columbia, November 12, 2007. High winds battered southern British Columbia, leaving more than 200,000 people without power as well as stranding thousands of airplane and ferry passengers. Along the coast, winds exceeded 130 km/h. In addition, heavy snow and mudslides caused by high precipitation resulted in road closures. The hardest hit areas were Langley, Surrey, Delta, and Richmond."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,New Brunswick and Nova Scotia,"November 4, 2007",Unknown,"New Brunswick and Nova Scotia, November 4, 2007. Wind gusts of up to 135 km/h from post-tropical storm Noel lashed the Maritimes, knocking out power to an estimated 190,000 homes and businesses across the region, while pounding surf and heavy rain washed out roads in some coastal areas."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Halifax and Lunenburg NS,"November 3, 2007","$2,805,157","Halifax and Lunenburg NS, November 3, 2007. Storm Noel.  The province was subjected to a severe storm throughout the province, with the heaviest impact in the areas of Halifax and Lunenburg."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Gaspé and Riviere-au-Renard QC,"August 8, 2007","$14,149,725","Gaspé and Riviere-au-Renard QC, August 8-9, 2007. A severe thunderstorm dumped up to 115 mm of rain on Gaspé and Riviere-au-Renard in less than 10 hours. The heavy rain resulted in significant damages to homes and businesses. In Riviere-au-Renard, 38 homes were damaged and approximately 105 people were evacuated. Nearby in Cortereal, six homes were damaged and approximately 29 people were evacuated. In total, approximately 200 people were evacuated due to flooding that was so severe that some houses were swept away completely. One individual died as a result of the flooding."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Peninsulas of Avalon, Burin and Bonavista NL","August 1, 2007","$19,073,933","Avalon, Burin and Bonavista peninsulas NL, August 1, 2007.  Storm Chantal.  A severe rainstorm resulted in damage to private property and provincial and local government infrastructure."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Newfoundland,"August 1, 2007","$7,063,000","Newfoundland, August 1, 2007. Post-Tropic storm Chantel tracked over through the Maritimes reaching Newfoundland’s Avalon Peninsula on August 1. Chanel dumped up to 200 mm of rain and produced wind gusts of up to 111 km/h in the region. The intense rainfall broke records. St. John’s West and Mount Pearl reported the heaviest one-hour rainfall, which included 43 mm and 49 mm respectively. Ten communities in Newfoundland were isolated due to flooding and declared a state of emergency. Numerous roads and bridges were washed out because of the torrential rain."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Municipalities of Pipestone, Sifton, Cameron, White water, Morton, Riverside, Turtle Mountain, Strathcona and Argyle and the Whiteshell Provincial Park MB","June 22, 2007","$1,183,183","Municipalities of Pipestone, Sifton, Cameron, White water, Morton, Riverside, Turtle Mountain, Strathcona and Argyle and the Whiteshell Provincial Park MB, June 22 to 24 June, 2007.  Wind storms and tornados caused significant damages."
Meteorological - Hydrological | Tornado,Elie MB,"June 22, 2007","$17,607,000","Elie MB, June 22, 2007. Tornadoes touched down west of Winnipeg in Eli and near Oakville, ripping apart several homes and flipping over a semi-trailer on the Trans-Canada Highway. Miraculously, no one appears to have been seriously hurt."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Calgary, Edmonton, St. Albert, the town of Stony Plain, Parkland County, Two Hills County, Kneehill County, Camrose, and the municipal districts of Rocky View and Bighorn AB","June 5, 2007","$16,396,213","Calgary, Edmonton, St. Albert, the town of Stony Plain, Parkland County, Two Hills County, Kneehill County, Camrose, and the municipal districts of Rocky View and Bighorn AB, June 5, 2007. A severe rainstorm on June 5 affected the cities of Calgary, Edmonton, and St. Albert, the town of Stony Plain, Parkland County, the County of Two Hills, Kneehill County, Camrose, County , and the Municipal Districts of Rocky View and Bighorn.  Many residences and small businesses experienced flooding resulting in loss of contents and structural damage.  Infrastructure damage to municipal roads and storm sewer lines, and provincial parks also occurred."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Fishing Lake SK,"May 25, 2007",Unknown,"Fishing Lake SK, May 25, 2007. An estimated 300 homes and cottages (approximately 600 individuals) were damaged by flooding that was caused by a higher than normal snowfall and subsequent ice melt runoff. Fishing Lake, located two hours east of Saskatoon area, received 50 to 75 mm of rain."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Gatineau QC,"April 23, 2007",Unknown,"Gatineau QC, April 23, 2007. Approximately 15,500 Hydro-Québec customers (46,500 individuals) were plunged into darkness in the Outaouais as a result of strong winds with gusts of up to 60 km/h."
